# Generated from https://formulae.brew.sh/api/cask.json
# Updated 2026-09-19; 3165 unique app bundle filenames
# Format: lowercase key<TAB>Homebrew Cask token
0 a.d..app	0-ad
discord canary.app	discord@canary
discord development.app	discord@development
discord ptb.app	discord@ptb
discord.app	discord
disk diet.app	disk-diet
disk drill.app	disk-drill
disk expert 6.app	disk-expert
disk jockey.app	disk-jockey
diskboard.app	diskboard
diskcatalogmaker.app	diskcatalogmaker
displaperture.app	displaperture
display pilot 2.app	display-pilot
displaybuddy.app	displaybuddy
displays.app	displays
distill web monitor.app	distill-web-monitor
ditto.app	ditto
diversion desktop.app	diversion-app
divvy.app	divvy
dixa.app	dixa
dj.studio next.app	djstudio@next
dj.studio.app	djstudio
djv.app	djv
dmg canvas.app	dmg-canvas
dnclient desktop.app	dnclient
dnsmonitor.app	dnsmonitor
dockdoor pro.app	dockdoor-pro
dockdoor.app	dockdoor
docker.app	docker-desktop
dockey.app	dockey
dockfix.app	dockfix
dockflow.app	dockflow
dockmate.app	dockmate
dockside.app	dockside
dockspace.app	dockspace
dockview.app	dockview
dockx.app	dockx
doll.app	doll
doomsday shell.app	doomsday-engine
doomsday.app	doomsday-engine
dorso.app	dorso
dosbox staging.app	dosbox-staging-app
dosbox.app	dosbox
dot.app	dot
doubao.app	doubao
doughnut.app	doughnut
doukutsu.app	cave-story
downie 4.app	downie
doxie.app	doxie
doxygen.app	doxygen-app
drata agent.app	drata-agent
draw things.app	draw-things
draw.io.app	drawio
drawbot.app	drawbot
drawpen.app	drawpen
dremel digilab 3d slicer.app	dremel-slicer
drivedx.app	drivedx
drivethrurpg.app	drivethrurpg
dropbox dash.app	dropbox-dash
dropdmg.app	dropdmg
droppy.app	droppy
dropshare 6.app	dropshare
dropshelf.app	dropshelf
dropzone 4.app	dropzone
drovio.app	drovio
ds4 control.app	ds4-control
duckduckgo.app	duckduckgo
duefocus.app	duefocus
duet.app	duet
duplicacy web edition.app	duplicacy-web-edition
duplicate annihilator for photos.app	duplicate-annihilator-for-photos
duplicate file finder 9.app	duplicate-file-finder
duplicateaudiofinder.app	duplicateaudiofinder
duplicati.app	duplicati
dusklight.app	dusklight
dwellclick.app	dwellclick
dyad.app	dyad
dynobase.app	dynobase
ea app.app	ea
eagle.app	ogdesign-eagle
eaglefiler.app	eaglefiler
ears.app	ears
easy move+resize.app	easy-move+resize
easydevo.app	easydevo
easydict.app	easydict
easydmg.app	easydmg
easyfind.app	easyfind
easymac cleaner.app	easymac-cleaner
ebmac.app	ebmac
ecamm live.app	ecamm-live
eclipse installer.app	eclipse-installer
eddie.app	eddie
edrawmind.app	edrawmind
eez studio.app	eez-studio
effect house.app	effect-house
egnyte.app	egnyte
egovframedev-5.0.2-macos-aarch64.app	egovframedev
eid viewer.app	beid-viewer
eigent.app	eigent
elan_7.1.app	elan
elasticvue.app	elasticvue
electerm.app	electerm
electron fiddle.app	electron-fiddle
electron-cash.app	electron-cash
electrum-grs.app	electrum-grs
electrum-ltc.app	electrum-ltc
electrum.app	electrum
electrumsv.app	electrumsv
elegooslicer.app	elegoo-slicer
element nightly.app	element@nightly
element.app	element
elephicon.app	elephicon
elgato capture device utility.app	elgato-capture-device-utility
elgato control center.app	elgato-control-center
elgato studio.app	elgato-studio
elgato video capture.app	elgato-video-capture
elgato wave link.app	elgato-wave-link
elmedia player.app	elmedia-player
elpass.app	elpass
emailchemy.app	emailchemy
emby.app	emby
embyserver.app	embyserver
emdash.app	emdash
emmetapp.app	emmetapp
empoche.app	empoche
energia.app	energia
energiza.app	energiza
ente auth.app	ente-auth
ente.app	ente
envkey.app	envkey
enzymex.app	enzymex
epic games launcher.app	epic-games
epic.app	epic
eqmac.app	eqmac
equibop.app	equibop
equinox.app	equinox
es-de.app	es-de
espanso.app	espanso
esphome device builder.app	esphome-device-builder
espresso.app	espresso
ethui.app	ethui
etrecheckpro.app	etrecheckpro
eudic.app	eudic
eufymake studio.app	eufymake-studio
eul.app	eul
ev3classroom.app	ev3-classroom
eve-online.app	eve-online
evernote.app	evernote
exactscan.app	exactscan
excalidrawz.app	excalidrawz
executor.app	executor
exelearning.app	exelearning
exifrenamer.app	exifrenamer
exo.app	exo
expandrive.app	expandrive
expo orbit.app	expo-orbit
expressions.app	expressions
expressscribe.app	expressscribe
extradock.app	extradock
f-bar.app	f-bar
fabric.app	fabric-app
facescreen.app	facescreen
factory.app	factory
fanny.app	fanny
fantastical.app	fantastical
farrago.app	farrago
fastdmg.app	fastdmg
fastmail.app	fastmail
fastmarks.app	fastmarks
fastrawviewer.app	fastrawviewer
fastscripts.app	fastscripts
fathom.app	fathom
favro.app	favro
feather.app	feather
fedistar.app	fedistar
feedflow.app	feedflow
fellow.app	fellow
fetch.app	fetch-app
ff·works.app	ff-works
fido2-manage.app	fido2-manage
figma beta.app	figma@beta
figma.app	figma
file juicer.app	file-juicer
filefaker.app	filefaker
filefillet.app	filefillet
filemaker pro.app	filemaker-pro
filemonitor.app	filemonitor
filen.app	filen
filepane.app	filepane
filo.app	filo
final fantasy xiv online.app	final-fantasy-xiv-online
finbar.app	finbar
find any file.app	find-any-file
find empty folders.app	find-empty-folders
find my ports.app	find-my-ports
finetune.app	finetune
fing.app	fing
finicky.app	finicky
firealpaca.app	firealpaca
firebird-emu.app	firebird-emu
firecamp.app	firecamp
firefly shimmer.app	firefly-shimmer
firefly.app	firefly-iota-desktop
firefox developer edition.app	firefox@developer-edition
firefox nightly.app	firefox@nightly
firestorm-releasex64.app	firestorm
fireworks.app	fireworks
firezone.app	firezone
fission.app	fission
fitbit os simulator.app	fitbit-os-simulator
fixkey.app	fixkey
flacon.app	flacon
flashspace.app	flashspace
flclashx.app	pluralplay-flclashx
fldigi-4.2.13.app	fldigi
flexoptix app.app	flexoptix
flic.app	flic
flick.app	flick
flickr uploadr.app	flickr-uploadr
flightgear.app	flightgear
flirc.app	flirc
flixtools.app	flixtools
flock.app	flock-app
floorp.app	floorp
flow5.app	flow5
flowdown.app	flowdown
flowvision.app	flowvision
flrig-2.0.12.app	flrig
fluent reader.app	fluent-reader
fluid.app	fluid
fluidvoice.app	fluidvoice
fluor.app	fluor
flutterflow.app	flutterflow
flux.app	flux-app
flycut.app	flycut
flyenv.app	flyenv
flyingcarpet.app	flying-carpet
flykey.app	flykey
fmail.app	fmail
fmail3.app	fmail3
fman.app	fman
focu.app	focu
focus.app	focus
focusany.app	focusany
focusatwill.app	focusatwill
focused.app	focused
focusrite control 2.app	focusrite-control-2
folder colorizer.app	folder-colorizer
folder preview pro.app	folder-preview-pro
foldit.app	foldit
folo.app	folo
folx.app	folx
font finagler.app	fontfinagler
font smoothing adjuster.app	fontsmoothingadjuster
fontbase.app	fontbase
fontcreator.app	fontcreator
fontgoggles.app	fontgoggles
fontlab 8.app	fontlab
fontra pak.app	fontra-pak
fontstand.app	fontstand
foobar2000.app	foobar2000
forecast.app	forecast
forklift.app	forklift
fotokasten.app	fotokasten
foxglove.app	foxglove
foxmail.app	foxmail
fractal-bot.app	fractal-bot
frame0.app	frame0
framer.app	framer
franz.app	franz
frappe books.app	frappe-books
freac.app	freac
free download manager.app	free-download-manager
free podcast transcription.app	free-podcast-transcription
free ruler.app	free-ruler
free42 binary.app	free42-binary
free42 decimal.app	free42-decimal
freecad.app	freecad
freedom.app	freedom
freepdf.app	freepdf
freeplane.app	freeplane
freetex.app	freetex
freeyourmusic.app	freeyourmusic
freeze.app	freeze
frescobaldi.app	frescobaldi
frhelper.app	frhelper
front.app	front
fs-uae launcher.app	fs-uae-launcher
fs-uae.app	fs-uae-emulator
fsmonitor.app	fsmonitor
fsnotes.app	fsnotes
fspy.app	fspy
ftb electron app.app	feed-the-beast
ftdiusbserialdextinstaller_1_5_0.app	ftdi-vcp-driver
fujifilm x raw studio.app	fujifilm-x-raw-studio
funter 7.app	funter
furtherance.app	furtherance
fuse.app	fredm-fuse
futuniuniu.app	futubull@legacy
fuwari.app	fuwari
game capture hd.app	elgato-game-capture-hd
gamehub.app	gamehub
gamma control.app	gamma-control
ganttproject.app	ganttproject
gaphor.app	gaphor
garagesale.app	garagesale
gargoyle.app	gargoyle
gather.app	gather
gauntlet.app	gauntlet
gb studio.app	gb-studio
gcs.app	gcs
gdevelop 5.app	gdevelop
geany.app	geany
gearboy.app	gearboy
gearsystem.app	gearsystem
geburtstagschecker.app	geburtstagschecker
